item,itemLabel,country,countryLabel,place,placeLabel,language,languageLabel,pic,offurl
http://www.wikidata.org/entity/Q824451,Boston Globe,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q100,Boston,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Boston%20Globe.svg,http://bostonglobe.com
http://www.wikidata.org/entity/Q824451,Boston Globe,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q100,Boston,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Boston%20Globe.svg,http://www.bostonglobe.com
http://www.wikidata.org/entity/Q827097,Berria,http://www.wikidata.org/entity/Q29,Spain,,,http://www.wikidata.org/entity/Q8752,Basque,http://commons.wikimedia.org/wiki/Special:FilePath/Berria%20Logo.svg,http://www.berria.eus
http://www.wikidata.org/entity/Q828388,Al-Watan,,,,,http://www.wikidata.org/entity/Q13955,Arabic,,https://www.alwatan.com.sa/
http://www.wikidata.org/entity/Q831299,Le Petit Parisien,,,,,http://www.wikidata.org/entity/Q150,French,,http://archives.creuse.fr/s/10/presse/?
http://www.wikidata.org/entity/Q831299,Le Petit Parisien,,,,,http://www.wikidata.org/entity/Q150,French,,https://gallica.bnf.fr/ark:/12148/cb34419111x/date
http://www.wikidata.org/entity/Q833881,Southern Metropolis Daily,,,,,http://www.wikidata.org/entity/Q13414913,Simplified Chinese,,http://www.oeeee.com
http://www.wikidata.org/entity/Q836901,Rimjin-gang,,,,,http://www.wikidata.org/entity/Q5287,Japanese,,http://www.asiapress.org/rimjin-gang/
http://www.wikidata.org/entity/Q836901,Rimjin-gang,,,,,http://www.wikidata.org/entity/Q9176,Korean,,http://www.asiapress.org/rimjin-gang/
http://www.wikidata.org/entity/Q840965,Dnestrovskaya Pravda,,,,,http://www.wikidata.org/entity/Q7737,Russian,,http://tiraspol.tripod.com/
http://www.wikidata.org/entity/Q841169,Kore Ilbo,,,,,http://www.wikidata.org/entity/Q7737,Russian,,https://koreans.kz/
http://www.wikidata.org/entity/Q841169,Kore Ilbo,,,,,http://www.wikidata.org/entity/Q9176,Korean,,https://koreans.kz/
http://www.wikidata.org/entity/Q842367,Guangzhou Daily,http://www.wikidata.org/entity/Q148,People's Republic of China,,,,,,https://gzdaily.dayoo.com/
http://www.wikidata.org/entity/Q842367,Guangzhou Daily,http://www.wikidata.org/entity/Q148,People's Republic of China,,,,,,https://www.dayoo.com/
http://www.wikidata.org/entity/Q847922,Taraf,,,,,http://www.wikidata.org/entity/Q256,Turkish,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Taraf.svg,http://www.taraf.com.tr/
http://www.wikidata.org/entity/Q848935,Racing Post,,,,,http://www.wikidata.org/entity/Q1860,English,http://commons.wikimedia.org/wiki/Special:FilePath/Racing%20Post%20logo.svg,https://www.racingpost.com/
http://www.wikidata.org/entity/Q850945,Q850945,http://www.wikidata.org/entity/Q28,Hungary,,,http://www.wikidata.org/entity/Q9067,Hungarian,,https://budapestfolyoirat.hu/
